title,topics,difficulty,word1,definition1,word2,definition2,word3,definition3,word4,definition4,word5,definition5,word6,definition6,word7,definition7,word8,definition8,word9,definition9,word10,definition10,word11,definition11,word12,definition12
Las estaciones (España),El tiempo,a2,primavera,spring,verano,summer,otoño,autumn,invierno,winter,,,,,,,,,,,,,,,,
Los alimentos (básico),Comida,a1,agua,water,pan,bread,leche,milk,huevo,egg,fruta,fruit,verdura,vegetable,carne,meat,pescado,fish,arroz,rice,pasta,pasta,aceite,oil,sal,salt
Los países de Europa,Geografía,a2,Francia,France,Alemania,Germany,Italia,Italy,Reino Unido,United Kingdom,Portugal,Portugal,Grecia,Greece,Irlanda,Ireland,Suecia,Sweden,Finlandia,Finland,Dinamarca,Denmark,Noruega,Norway,Polonia,Poland
Las capitales de Europa,Geografía,b1,París,Paris,Berlín,Berlin,Roma,Rome,Londres,London,Lisboa,Lisbon,Atenas,Athens,Dublín,Dublin,Estocolmo,Stockholm,Helsinki,Helsinki,Copenhague,Copenhagen,Oslo,Oslo,Varsovia,Warsaw
Las asignaturas escolares,Educación,a2,matemáticas,mathematics,ciencias,science,historia,history,geografía,geography,literatura,literature,arte,art,música,music,educación física,physical education,,,,,,,,
Los medios de transporte,Transporte,a1,coche,car,autobús,bus,tren,train,bicicleta,bicycle,moto,motorcycle,avión,airplane,barco,boat,metro,subway,taxi,taxi,tranvía,tram,,,,
Los electrodomésticos,La casa,a2,lavadora,washing machine,nevera,refrigerator,horno,oven,microondas,microwave,aspiradora,vacuum cleaner,plancha,iron,televisión,television,radio,radio,,,,,,,,
Los muebles de la casa,La casa,a1,mesa,table,silla,chair,cama,bed,armario,wardrobe,sofá,sofa,estantería,bookshelf,lámpara,lamp,,,,,,,,,,
Las partes del cuerpo (más),El cuerpo,a1,cabeza,head,cara,face,ojos,eyes,nariz,nose,boca,mouth,orejas,ears,pelo,hair,manos,hands,pies,feet,piernas,legs,brazos,arms,,
Las profesiones (artes),Profesiones,b1,artista,artist,escritor,writer,músico,musician,actor,actor,bailarín,dancer,fotógrafo,photographer,cineasta,filmmaker,escultor,sculptor,,,,,,,,
Los instrumentos de cuerda frotada,Música,b1,violín,violin,viola,viola,violonchelo,cello,contrabajo,double bass,,,,,,,,,,,,,,,,
Los verbos (reflexivos),Verbos,a2,lavarse,to wash oneself,vestirse,to get dressed,despertarse,to wake up,peinarse,to comb one's hair,,,,,,,,,,,,,,,,
Los verbos (recíprocos),Verbos,b1,ayudarse,to help each other,besarse,to kiss each other,escribirse,to write to each other,llamarse,to call each other,,,,,,,,,,,,,,,,
Los adverbios (opinión),Adverbios,b2,sinceramente,sincerely,honestamente,honestly,francamente,frankly,desgraciadamente,unfortunately,,,,,,,,,,,,,,,,
Las conjunciones (adversativas),Gramática,b2,sin embargo,however,no obstante,nevertheless,en cambio,instead,por el contrario,on the contrary,,,,,,,,,,,,,,,,
Los pronombres (relativos),Gramática,b1,que,that/who/which,quien,who,cuyo,whose,cuales,which (plural),,,,,,,,,,,,,,,,
Los números ordinales (combinado),Números,c2,trigésimo primero,thirty-first,cuadragésimo segundo,forty-second,quincuagésimo tercero,fifty-third,sexagésimo cuarto,sixty-fourth,septuagésimo quinto,seventy-fifth,octogésimo sexto,eighty-sixth,nonagésimo séptimo,ninety-seventh,centésimo octavo,one hundred and eighth,,,,,,,,
Los refranes (populares),Expresiones,b2,"A buen entendedor, pocas palabras.",A word to the wise is sufficient.,"No hay mal que dure cien años, ni cuerpo que lo resista.",This too shall pass.,"Quien mucho abarca, poco aprieta.","Jack of all trades, master of none.",No es oro todo lo que reluce.,All that glitters is not gold.,Más vale pájaro en mano que ciento volando.,A bird in the hand is worth two in the bush.,,,,,,,,,,,,,,
Los trabalenguas (más),Expresiones,b1,Tres tristes tigres comen trigo en un trigal.,Three sad tigers eat wheat in a wheat field.,Pepe Pecas pica papas con un pico.,Peter Pepper picks pickled peppers.,"Si Pancha plancha con cuatro planchas, ¿con cuántas planchas plancha Pancha?","If Pancha irons with four irons, how many irons does Pancha iron with?",,,,,,,,,,,,,,,,,,
Los diminutivos (comunes),Vocabulario,b1,poquito,a little bit,casita,little house,gatito,little cat,perrito,little dog,cafecito,little coffee,agüita,little water,,,,,,,,,,,,
Los aumentativos (comunes),Vocabulario,b1,grandote,very big 8,caserón,big house,gatazo,big cat,perrazo,big dog,caféte,big coffee,agüaza,a lot of water,,,,,,,,,,,,
